x,y,z,yaw,velocity,change_flag
-34.6487,-132.6722,5.5866,2.5211,6,0
-35.4998,-132.0757,5.5526,2.4977,6,0
-36.2928,-131.4422,5.5398,2.4704,6,0
-37.108,-130.8031,5.5166,2.4159,6,0
-37.8867,-130.1355,5.4722,2.3698,6,0
-38.6249,-129.4309,5.4647,2.3378,6,0
-39.3188,-128.705,5.4595,2.3258,6,0
-40.0508,-127.9866,5.4191,2.3171,6,0
-40.7401,-127.2189,5.4136,2.3132,6,0
-41.4322,-126.4789,5.377,2.3047,6,0
-42.1409,-125.7138,5.3332,2.2842,6,0
-42.8076,-124.9612,5.3117,2.2453,6,0
-43.4568,-124.1631,5.2895,2.212,6,0
-44.0569,-123.3346,5.2525,2.1905,6,0
-44.6885,-122.5456,5.278,2.1644,6,0
-45.2412,-121.7036,5.1768,2.1465,6,0
-45.7863,-120.8234,5.1345,2.1299,6,0
-46.3871,-119.987,5.0932,2.1241,6,0
-46.8935,-119.1098,5.0565,2.0997,6,0
-47.4899,-118.2632,5.0715,2.0931,6,0
-47.9863,-117.3906,5.0891,2.0934,6,0
-48.4932,-116.5044,5.0329,2.0782,6,0
-49.0191,-115.627,4.9882,2.0654,6,0
-49.546,-114.7496,4.9722,2.05,6,0
-50.0399,-113.8513,4.9227,2.036,6,0
-50.4589,-112.9237,4.9272,2.0204,6,0
-50.9267,-112.0355,4.9033,1.9981,6,0
-51.3384,-111.1228,4.8934,1.9824,6,0
-51.7936,-110.2222,4.8528,1.9526,6,0
-52.1751,-109.2922,4.863,1.9324,6,0
-52.5473,-108.3437,4.8367,1.9136,6,0
-52.8839,-107.3832,4.7631,1.8963,6,0
-53.2581,-106.4137,4.8277,1.8322,6,0
-53.5084,-105.4286,4.8017,1.7875,6,0
-53.7199,-104.4183,4.7292,1.7714,6,0
-53.9282,-103.4211,4.7119,1.7486,6,0
-54.1405,-102.4073,4.6758,1.739,6,0
-54.322,-101.4127,4.6901,1.7391,6,0
-54.5191,-100.4016,4.6161,1.7443,6,0
-54.7337,-99.4052,4.6307,1.736,6,0
-54.912,-98.416,4.6387,1.7262,6,0
-55.1315,-97.419,4.6443,1.7145,6,0
